seed,x,y,r,f_spiral,f_circles,margin,router_spiral,oracle_spiral,composite_correct,region_match
42,0.02554,-0.50856,0.50920,0.98478,0.03960,0.17176,1,0,0,0
42,-0.69966,0.89483,1.13589,0.02887,0.96660,-1.11527,0,0,1,1
42,-0.96474,-0.71502,1.20083,0.96508,0.92647,-0.60691,0,0,1,1
42,-0.85435,0.81317,1.17947,0.02776,0.96116,-1.11679,0,0,1,1
42,0.05261,-0.54883,0.55135,0.98493,0.03977,0.17157,1,0,0,0
42,0.68710,0.54113,0.87460,0.04358,0.97321,-1.11224,0,0,1,1
42,-0.77943,0.29092,0.83195,0.03200,0.51969,-1.28039,0,0,1,1
42,0.65191,-0.03760,0.65300,0.96562,0.08020,0.10909,1,0,0,0
42,0.85675,-0.73310,1.12758,0.97291,0.74761,-0.52237,0,0,1,1
42,-0.43111,-0.58692,0.72823,0.98487,0.43302,-0.31023,0,0,1,1
42,0.86409,0.21943,0.89152,0.09203,0.97790,-1.10370,0,0,1,1
42,-0.17500,-0.91861,0.93513,0.98586,0.43910,-0.31447,0,0,1,1
42,-0.58110,0.04843,0.58311,0.03669,0.49457,-1.27102,0,0,1,1
42,-0.93226,-0.62123,1.12028,0.96432,0.92539,-0.60676,0,0,1,1
42,0.81169,0.42683,0.91708,0.08126,0.97250,-1.10708,0,0,1,1
42,-0.82817,0.30628,0.88299,0.03178,0.52352,-1.28154,0,0,1,1
42,0.16844,0.83142,0.84831,0.03137,0.12837,-1.15958,0,0,1,1
42,-0.68618,-0.85852,1.09905,0.98208,0.87215,-0.57245,0,0,1,1
42,0.37229,0.19239,0.41906,0.09004,0.03623,-0.41127,0,0,1,1
42,0.56660,-0.38898,0.68727,0.98272,0.68669,-0.48399,0,0,1,1
42,0.96776,0.61780,1.14814,0.04331,0.97411,-1.11203,0,0,1,1
42,-0.62190,-0.82429,1.03258,0.98550,0.87057,-0.56977,0,0,1,1
42,0.75895,0.38138,0.84939,0.08193,0.10172,-0.92370,0,0,1,1
42,-0.37921,0.89330,0.97046,0.02859,0.96760,-1.11503,0,0,1,1
42,0.63841,0.64099,0.90467,0.04261,0.97386,-1.11217,0,0,1,1
42,0.83837,-0.77158,1.13939,0.97305,0.74654,-0.52175,0,0,1,1
42,-0.49614,-0.09082,0.50438,0.59692,0.04330,-0.04129,0,0,1,1
42,-0.64219,0.15479,0.66058,0.03346,0.50411,-1.27528,0,0,1,1
42,0.44342,-0.10348,0.45533,0.97574,0.07390,0.12380,1,0,0,0
42,0.01159,0.43045,0.43060,0.03174,0.09175,-1.11500,0,0,1,1
42,-0.84748,0.19003,0.86852,0.03261,0.52016,-1.28047,0,0,1,1
42,-0.75624,0.78097,1.08711,0.02798,0.64754,-1.19882,0,0,1,1
42,0.22137,0.68835,0.72307,0.03029,0.11859,-1.15311,0,0,1,1
42,-0.38948,-0.26572,0.47149,0.96075,0.05956,0.14499,1,0,0,0
42,0.90539,-0.58755,1.07933,0.97231,0.74971,-0.52380,0,0,1,1
42,0.10967,-0.44044,0.45389,0.98456,0.02741,0.18376,1,0,0,0
42,-0.77864,0.48467,0.91716,0.02920,0.52759,-1.28078,0,0,1,1
42,-0.80617,0.14258,0.81869,0.03312,0.51537,-1.27887,0,0,1,1
42,0.74203,-0.75563,1.05905,0.97293,0.73434,-0.51564,0,0,1,1
